network,autonomous_system_number,autonomous_system_organization
2401:d002:f70e:b801::/64,38195,Superloop
2401:d002:f70e:b802::/63,38195,Superloop
2401:d002:f70e:b804::/62,38195,Superloop
2401:d002:f70e:b808::/61,38195,Superloop
2401:d002:f70e:b810::/60,38195,Superloop
2401:d002:f70e:b820::/59,38195,Superloop
2401:d002:f70e:b840::/58,38195,Superloop
2401:d002:f70e:b880::/57,38195,Superloop
2401:d002:f70e:b900::/56,38195,Superloop
2401:d002:f70e:ba00::/55,38195,Superloop
2401:d002:f70e:bc00::/54,38195,Superloop
2401:d002:f70e:c000::/50,38195,Superloop
2401:d002:f70f::/48,38195,Superloop
2401:d002:f710::/44,38195,Superloop
2401:d002:f720::/43,38195,Superloop
2401:d002:f740::/42,38195,Superloop
2401:d002:f780::/41,38195,Superloop
2401:d002:f800::/37,38195,Superloop
2401:d003::/32,38195,Superloop
2401:d004::/30,38195,Superloop
2401:d008::/29,38195,Superloop
2401:d020::/32,153261,"Windwire Networks Private Limited"
2401:d040::/35,136988,"LEASEWEB AUSTRALIA PTY LIMITED"
2401:d0a0::/34,131973,"J-Stream Inc."
2401:d0e0:2::/48,151270,"Sichuan Xiaoteyun Technology Co., Ltd"
2401:d0e0:3::/48,134768,"CHINANET SHAANXI province Cloud Base network"
2401:d100::/32,18705,RIMBLACKBERRY
2401:d160::/32,152723,"Maijdee Supernet"
2401:d180::/46,133865,"Beijing IQIYI Science & Technology Co., Ltd."
2401:d180:10::/47,133865,"Beijing IQIYI Science & Technology Co., Ltd."
2401:d180:111::/48,133865,"Beijing IQIYI Science & Technology Co., Ltd."
2401:d180:2120::/48,133865,"Beijing IQIYI Science & Technology Co., Ltd."
2401:d1c0::/32,136994,"Southern Phone Company Ltd"
2401:d200::/32,18015,"Fastcom Limited"
2401:d260::/32,153385,"Pico Public Cloud Limited"
2401:d300::/32,132022,"IP World Technologies Sdn. Bhd."
2401:d320::/32,153391,"MINIUM NET LLC"
2401:d380::/32,38031,"OptiMax Communication Ltd."
2401:d3c0::/32,55201,SKYQUANTUM-INTERNET-SERVICE
2401:d480::/32,134711,"FLIP TV PTY LIMITED"
2401:d4e0:1::/48,153393,"RACKVOLT CLOUD SOLUTIONS PRIVATE LIMITED"
2401:d500::/32,18135,"BTV CO.,LTD."
2401:d520::/32,153399,"Tu Atea Limited"
2401:d560::/32,134351,"Leaseweb Japan K.K."
2401:d5a0::/32,58967,"RSBS ONLINE SERVICES PRIVATE LIMITED"
2401:d5e0:b::/48,151732,"ONREMOTE TELECOM PRIVATE LIMITED"
2401:d5e0:e::/47,151732,"ONREMOTE TELECOM PRIVATE LIMITED"
2401:d600::/32,45204,"GEMNET LLC"
2401:d620::/32,63908,"See Get Upstart Technology Co., Ltd."
2401:d640::/32,132168,"ESUN TECHNOLOGY INTERNATIONAL CO., LIMITED"
2401:d660::/32,135189,"I connect broadband support and services"
2401:d7c0::/32,45355,"Digicel Fiji Limited"
2401:d800::/32,7552,"Viettel Group"
2401:d860::/32,20200,DIGITAL-LAYER-APAC
2401:d880::/32,133880,"The Thai Red Cross Society"
2401:d900::/32,10003,"Ogaki Cable Television Co.,Inc."
2401:d920::/48,63718,"Hangzhou YouYun Technology Co., Ltd."
2401:d940::/32,24530,"PT. Power Telecom Indonesia"
2401:d9c0:2000::/36,140096,"JINX CO., LIMITED"
2401:d9e0::/32,153236,"KARNATAKA FASTNET PRIVATE LIMITED"
2401:da20::/32,151203,"Fibre Up Pty Ltd"
2401:da40:1000::/36,134548,"DXTL Tseung Kwan O Service"
2401:da40:2000::/35,134548,"DXTL Tseung Kwan O Service"
2401:da40:4000::/34,134548,"DXTL Tseung Kwan O Service"
2401:da40:8000::/33,134548,"DXTL Tseung Kwan O Service"
2401:da80::/32,63927,RISE
2401:daa0:55::/48,400318,VERSA-01
2401:daa0:57::/48,400318,VERSA-01
2401:dac0::/32,13984,SD-DATA-CENTER
2401:dae0::/32,17413,"Dodo Ltd."
2401:db20::/32,153251,"JAZTEL PRIVATE LIMITED"
2401:db40::/32,136865,"PT Foura Inti Sinergi"
2401:dc20::/32,151660,"Neptune Internet"
2401:dc40::/32,24253,"J-Stream Inc."
2401:dd00::/32,38229,"Lanka Education & Research Network, NREN"
2401:dd40:1::/48,24289,"Kagawa T.V Broadcast Network Co,.Ltd"
2401:de00::/32,7497,"Computer Network Information Center of Chinese Academy of Sciences CNIC-CAS"
2401:de80::/32,38524,"Laxo Global Akses, PT"
2401:dea0::/32,151799,Dialplan
2401:dec0::/32,137023,"ASIAN CITY ONLINE BD LTD."
2401:dee0::/46,150705,"Hello Vision Dot Net"
2401:dee0:4::/47,150705,"Hello Vision Dot Net"
2401:df00:1::/48,3360,DXC-AS3360
2401:df00:2::/48,3360,DXC-AS3360
2401:df00:7::/48,3360,DXC-AS3360
2401:df00:11::/48,3360,DXC-AS3360
2401:df00:12::/48,3360,DXC-AS3360
2401:df00:21::/48,3360,DXC-AS3360
2401:df00:22::/48,3360,DXC-AS3360
2401:df00:27::/48,3360,DXC-AS3360
2401:df00:31::/48,3360,DXC-AS3360
2401:df00:32::/48,3360,DXC-AS3360
2401:df00:41::/48,3360,DXC-AS3360
2401:df00:42::/48,3360,DXC-AS3360
2401:df00:51::/48,3360,DXC-AS3360
2401:df00:52::/48,3360,DXC-AS3360
2401:df00:57::/48,3360,DXC-AS3360
2401:df00:61::/48,3360,DXC-AS3360
2401:df00:62::/48,3360,DXC-AS3360
2401:df00:181::/48,3360,DXC-AS3360
2401:df00:182::/48,3360,DXC-AS3360
2401:df00:301::/48,16509,AMAZON-02
2401:df00:331::/48,16509,AMAZON-02
2401:df00:341::/48,16509,AMAZON-02
2401:df00:351::/48,16509,AMAZON-02
2401:df00:421::/48,16509,AMAZON-02
2401:df40:1::/48,64022,"Kamatera, Inc."
2401:df40:2::/48,36007,KAMATERA
2401:df60::/32,63782,"Omaezaki Cable Television Co.Ltd"
2401:df80::/32,133652,"Zapbytes Technologies Pvt. Ltd."
2401:e120::/32,56231,"MEASAT Broadcast Network Systems"
2401:e180::/32,9674,"Far EastTone Telecommunication Co., Ltd."
2401:e220::/46,153259,"Edgerede Private Limited"
2401:e260::/40,133458,"FPT Smart Cloud Japan Co., Ltd"
2401:e280:1000::/36,133114,"ControlVM Sdn Bhd"
2401:e2a0::/32,135609,"Robert Bosch Australia Proprietary Limited"
2401:e300::/32,23786,"San-in Cable Vision CO.,LTD"
2401:e320::/39,45700,"PT Starlink Services Indonesia"
